sbj_num,formula,overall_liking_score,atributo,nivel,producto
180971951,182,7,sal,TL,Churritos Prueba
180971951,182,7,queso,TM,Churritos Prueba
180971951,182,7,crujiente,TM,Churritos Prueba
180971951,182,7,textura,TL,Churritos Prueba
180971951,182,7,porosidad,TM,Churritos Prueba
181015666,182,8,olor,JAR,Churritos Prueba
181015666,182,8,color,JAR,Churritos Prueba
181015666,182,8,sal,JAR,Churritos Prueba
181015666,182,8,queso,JAR,Churritos Prueba
181015666,182,8,crujiente,JAR,Churritos Prueba
181015666,182,8,textura,JAR,Churritos Prueba
181015666,182,8,porosidad,JAR,Churritos Prueba
180946696,182,7,olor,TM,Churritos Prueba
180946696,182,7,color,TM,Churritos Prueba
180946696,182,7,sal,TL,Churritos Prueba
180946696,182,7,queso,TL,Churritos Prueba
180946696,182,7,crujiente,TM,Churritos Prueba
180946696,182,7,textura,JAR,Churritos Prueba
180946696,182,7,porosidad,TL,Churritos Prueba
181037086,182,8,olor,JAR,Churritos Prueba
181037086,182,8,color,JAR,Churritos Prueba
181037086,182,8,sal,JAR,Churritos Prueba
181037086,182,8,queso,JAR,Churritos Prueba
181037086,182,8,crujiente,JAR,Churritos Prueba
181037086,182,8,textura,JAR,Churritos Prueba
181037086,182,8,porosidad,TM,Churritos Prueba
181063082,182,6,olor,TM,Churritos Prueba
181063082,182,6,color,TL,Churritos Prueba
181063082,182,6,sal,TM,Churritos Prueba
181063082,182,6,queso,TL,Churritos Prueba
181063082,182,6,crujiente,TM,Churritos Prueba
181063082,182,6,textura,TL,Churritos Prueba
181063082,182,6,porosidad,TM,Churritos Prueba
181062142,182,9,olor,TM,Churritos Prueba
181062142,182,9,color,TM,Churritos Prueba
181062142,182,9,sal,JAR,Churritos Prueba
181062142,182,9,queso,TM,Churritos Prueba
181062142,182,9,crujiente,JAR,Churritos Prueba
181062142,182,9,textura,JAR,Churritos Prueba
181062142,182,9,porosidad,JAR,Churritos Prueba
181071471,182,8,olor,TM,Churritos Prueba
181071471,182,8,color,TL,Churritos Prueba
181071471,182,8,sal,TM,Churritos Prueba
181071471,182,8,queso,TM,Churritos Prueba
181071471,182,8,crujiente,TL,Churritos Prueba
181071471,182,8,textura,TL,Churritos Prueba
181071471,182,8,porosidad,TL,Churritos Prueba
180947883,182,9,olor,JAR,Churritos Prueba
180947883,182,9,color,JAR,Churritos Prueba
180947883,182,9,sal,JAR,Churritos Prueba
180947883,182,9,queso,JAR,Churritos Prueba
180947883,182,9,crujiente,JAR,Churritos Prueba
180947883,182,9,textura,JAR,Churritos Prueba
180947883,182,9,porosidad,JAR,Churritos Prueba
180976301,182,9,olor,TM,Churritos Prueba
180976301,182,9,color,TL,Churritos Prueba
180976301,182,9,sal,JAR,Churritos Prueba
180976301,182,9,queso,JAR,Churritos Prueba
180976301,182,9,crujiente,JAR,Churritos Prueba
180976301,182,9,textura,JAR,Churritos Prueba
180976301,182,9,porosidad,JAR,Churritos Prueba
180961587,182,8,olor,JAR,Churritos Prueba
180961587,182,8,color,TM,Churritos Prueba
180961587,182,8,sal,JAR,Churritos Prueba
180961587,182,8,queso,JAR,Churritos Prueba
180961587,182,8,crujiente,JAR,Churritos Prueba
180961587,182,8,textura,JAR,Churritos Prueba
180961587,182,8,porosidad,JAR,Churritos Prueba
181013905,182,9,olor,JAR,Churritos Prueba
181013905,182,9,color,JAR,Churritos Prueba
181013905,182,9,sal,JAR,Churritos Prueba
181013905,182,9,queso,JAR,Churritos Prueba
181013905,182,9,crujiente,JAR,Churritos Prueba
181013905,182,9,textura,JAR,Churritos Prueba
181013905,182,9,porosidad,JAR,Churritos Prueba
180945652,182,8,olor,JAR,Churritos Prueba
180945652,182,8,color,JAR,Churritos Prueba
180945652,182,8,sal,TL,Churritos Prueba
180945652,182,8,queso,JAR,Churritos Prueba
180945652,182,8,crujiente,JAR,Churritos Prueba
180945652,182,8,textura,JAR,Churritos Prueba
180945652,182,8,porosidad,JAR,Churritos Prueba
181015598,182,7,olor,JAR,Churritos Prueba
181015598,182,7,color,JAR,Churritos Prueba
181015598,182,7,sal,JAR,Churritos Prueba
181015598,182,7,queso,JAR,Churritos Prueba
181015598,182,7,crujiente,JAR,Churritos Prueba
181015598,182,7,textura,JAR,Churritos Prueba
181015598,182,7,porosidad,JAR,Churritos Prueba
180947452,182,7,olor,TM,Churritos Prueba
180947452,182,7,color,TM,Churritos Prueba
180947452,182,7,sal,TL,Churritos Prueba
180947452,182,7,queso,JAR,Churritos Prueba
