sbj_num,producto1,olor,color,overall_liking,sal,queso,crujiente,textura,porosidad
180977519,Fórmula 781,2,2,7,1,2,3,3,2
180977519,Fórmula 182,1,1,6,2,1,3,3,2
181063796,Fórmula 781,1,1,8,2,2,2,2,2
181063796,Fórmula 182,1,1,6,2,1,2,2,2
181067299,Fórmula 781,2,2,8,2,2,2,2,2
181067299,Fórmula 182,2,2,9,2,2,2,2,2
181060052,Fórmula 781,3,3,8,2,2,2,2,2
181060052,Fórmula 182,3,1,7,3,3,1,1,1
181066920,Fórmula 182,2,1,9,2,2,2,2,3
181066920,Fórmula 781,1,3,9,1,3,2,2,2
181072701,Fórmula 781,2,2,9,2,2,2,2,3
181072701,Fórmula 182,3,2,9,2,2,2,2,3
181018225,Fórmula 182,3,3,9,1,3,1,3,3
181018225,Fórmula 781,3,3,9,1,3,3,3,3
181062122,Fórmula 182,1,1,6,2,2,2,1,3
181062122,Fórmula 781,1,1,6,1,1,1,1,1
181068939,Fórmula 781,2,2,9,2,2,2,2,2
181068939,Fórmula 182,2,2,9,2,2,2,2,2
181058699,Fórmula 182,2,2,9,2,2,2,2,2
181058699,Fórmula 781,3,3,2,3,3,1,1,1
180965561,Fórmula 781,2,3,9,2,2,2,2,2
180965561,Fórmula 182,1,1,6,3,1,1,1,1
181160042,Fórmula 781,3,3,9,2,2,2,2,1
181160042,Fórmula 182,1,1,6,2,1,1,1,3
181058782,Fórmula 182,3,3,9,2,2,3,3,2
181058782,Fórmula 781,1,1,7,2,1,1,3,1
180948426,Fórmula 781,3,3,9,2,3,2,2,2
180948426,Fórmula 182,3,3,3,3,1,1,1,1
180966093,Fórmula 781,2,2,8,2,2,2,2,2
180966093,Fórmula 182,1,1,6,1,1,1,1,1
181113246,Fórmula 182,2,2,8,2,2,2,2,2
181113246,Fórmula 781,3,3,6,3,1,1,3,3
181030282,Fórmula 182,1,3,7,2,2,2,2,2
181030282,Fórmula 781,1,2,8,2,2,2,2,2
181021876,Fórmula 182,2,2,9,2,2,2,2,2
181021876,Fórmula 781,2,2,9,2,2,2,2,2
180946429,Fórmula 182,2,2,9,2,2,2,2,2
180946429,Fórmula 781,2,2,9,2,2,2,2,2
180949003,Fórmula 182,2,2,8,2,2,3,2,2
180949003,Fórmula 781,2,2,9,2,2,3,1,3
181126095,Fórmula 182,1,2,8,2,2,2,2,2
181126095,Fórmula 781,2,2,8,2,2,2,2,2
181021657,Fórmula 781,2,2,8,2,2,2,2,2
181021657,Fórmula 182,3,1,7,1,1,1,2,2
181011981,Fórmula 781,2,3,9,2,2,2,2,2
181011981,Fórmula 182,3,1,2,3,3,3,1,3
181125311,Fórmula 781,2,2,9,2,2,2,2,2
181125311,Fórmula 182,1,1,7,2,2,2,2,2
180969098,Fórmula 182,1,1,9,2,1,3,1,3
180969098,Fórmula 781,3,3,9,2,3,3,3,3
181070259,Fórmula 182,1,1,9,1,1,1,1,1
181070259,Fórmula 781,3,3,9,3,3,3,3,3
181069422,Fórmula 781,2,2,9,2,2,2,2,2
181069422,Fórmula 182,2,2,9,2,2,2,2,2
181071554,Fórmula 781,2,2,9,2,2,2,2,2
181071554,Fórmula 182,2,2,9,2,2,2,2,2
181066475,Fórmula 781,3,3,9,2,3,3,3,3
181066475,Fórmula 182,3,3,9,1,3,3,3,3
181111222,Fórmula 182,2,2,7,2,2,1,2,2
181111222,Fórmula 781,1,3,9,2,2,2,2,3
181058698,Fórmula 182,1,1,7,1,1,1,1,1
181058698,Fórmula 781,2,3,9,2,2,3,2,2
180948439,Fórmula 182,2,2,9,2,2,2,2,2
180948439,Fórmula 781,2,2,9,2,2,2,2,2
180966428,Fórmula 781,2,2,9,2,2,2,2,2
180966428,Fórmula 182,3,2,9,2,2,2,2,2
180966956,Fórmula 182,1,3,9,1,2,2,2,2
180966956,Fórmula 781,2,2,9,2,2,3,2,2
180966427,Fórmula 182,2,2,9,2,2,2,2,2
180966427,Fórmula 781,2,2,9,2,2,2,2,2
181032089,Fórmula 781,2,2,9,3,2,2,2,3
181032089,Fórmula 182,2,2,9,2,2,2,2,2
181031856,Fórmula 781,2,2,9,2,2,2,2,2
181031856,Fórmula 182,2,2,9,2,2,2,2,2
180969134,Fórmula 182,2,2,8,2,2,2,2,2
180969134,Fórmula 781,2,2,9,2,2,2,2,2
180965563,Fórmula 781,2,2,9,2,2,2,2,2
180965563,Fórmula 182,2,2,9,2,2,2,2,2
181064839,Fórmula 182,1,1,7,1,1,1,1,1
181064839,Fórmula 781,3,3,8,2,3,3,3,1
180962636,Fórmula 781,3,3,9,2,2,2,1,1
180962636,Fórmula 182,2,1,6,3,1,1,1,1
180968696,Fórmula 182,2,2,4,2,2,2,2,1
180968696,Fórmula 781,1,3,7,2,2,2,2,1
181063043,Fórmula 781,2,2,7,2,2,2,2,2
181063043,Fórmula 182,2,1,5,3,3,1,1,1
180971798,Fórmula 781,2,3,9,1,2,2,2,2
180971798,Fórmula 182,2,1,6,3,2,2,1,1
180977518,Fórmula 781,2,2,9,2,2,2,2,2
180977518,Fórmula 182,2,2,7,3,3,1,2,2
181160792,Fórmula 182,2,1,8,2,2,2,1,1
181160792,Fórmula 781,2,2,8,3,2,1,1,1
181015803,Fórmula 182,2,1,9,2,2,3,3,1
181015803,Fórmula 781,1,3,7,2,1,1,1,1
