sbj_num,muni,pais,sexo,nse,edad,rango_edad,rotacion1,index1,producto1,p1,p2,p3,p3_1,p3_2,p4,p5,p5_1,p5_2,p6,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9_1,p9_2,p9_3,p9_4,p9_5,p10,p11,p12,p12_1,p12_2,p13,p14,p14_1,p14_2,p15,p16,p17,p17_1,p17_2,lik_por,nivel_por,nivel_por_1,nivel_por_2,lik_tex,nivel_tex,nivel_tex_1,nivel_tex_2,p18,preferencia
181020188,17,2,2,3,15,2,2,PRODUCTO1,2,6,9,3,NA,1,8,3,NA,2,8,9,51,10,276,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,8,2,NA,NA,7,3,3,NA,2,7,1,1,NA,8,3,NA,2,4,781
181020188,17,2,2,3,15,2,2,PRODUCTO2,1,6,8,3,NA,1,7,1,2,NA,9,9,10,279,51,NA,NA,0,NA,NA,NA,NA,9,7,1,1,NA,9,3,NA,1,8,5,3,NA,1,9,3,NA,2,9,1,2,NA,5,781
181060314,4,2,1,2,15,2,2,PRODUCTO1,2,7,9,2,NA,NA,8,2,NA,NA,9,9,51,11,275,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,4,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181060314,4,2,1,2,15,2,2,PRODUCTO2,1,7,8,2,NA,NA,9,2,NA,NA,9,9,11,275,NA,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,7,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
180977520,4,2,1,3,36,3,1,PRODUCTO1,1,6,9,2,NA,NA,8,2,NA,NA,8,8,51,NA,NA,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,8,2,NA,NA,8,5,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
180977520,4,2,1,3,36,3,1,PRODUCTO2,2,6,8,2,NA,NA,8,2,NA,NA,8,8,50,NA,NA,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,9,2,NA,NA,8,5,2,NA,NA,9,2,NA,NA,8,2,NA,NA,5,781
180971299,4,2,1,3,38,3,1,PRODUCTO1,1,6,8,2,NA,NA,9,2,NA,NA,8,9,51,277,111,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,3,3,NA,1,8,2,NA,NA,9,2,NA,NA,5,781
180971299,4,2,1,3,38,3,1,PRODUCTO2,2,5,7,1,2,NA,6,3,NA,2,6,9,50,111,88,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,8,4,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
180961592,4,2,1,3,25,2,1,PRODUCTO1,1,5,8,2,NA,NA,9,3,NA,2,9,8,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,7,1,2,NA,9,1,2,NA,9,4,3,NA,1,7,2,NA,NA,8,2,NA,NA,4,781
180961592,4,2,1,3,25,2,1,PRODUCTO2,2,7,7,1,2,NA,9,2,NA,NA,9,9,51,111,NA,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,4,781
